,Gn,mean,std,percentile_rank
7092,HNRNPM,664.47,0.0,97.99915754001685
18725,ZNF589,662.315,0.0,97.99389216512215
12809,PRR4,661.9875000000001,849.0337187724055,97.98862679022746
6295,GLYAT,661.801,0.0,97.98336141533277
13839,RPL15,661.123,0.0,97.97809604043807
3861,CYB5R3,659.893,0.0,97.97283066554338
18158,YBX1,657.942,0.0,97.9675652906487
1354,B2M,656.843,0.0,97.962299915754
10023,MYH7,656.427,0.0,97.95703454085931
10572,NONO,656.398,0.0,97.95176916596462
3263,CLTC,653.956,0.0,97.94650379106993
6818,HADH,653.126,0.0,97.94123841617524
16034,TALDO1,652.653,0.0,97.93597304128055
6272,GLO1,645.765,0.0,97.93070766638584
13882,RPL9P9,645.275,0.0,97.9228096040438
13881,RPL9,645.275,0.0,97.9228096040438
14105,SAA2-SAA4,643.972,0.0,97.91227885425442
14106,SAA4,643.972,0.0,97.91227885425442
13928,RPS3A,642.125,0.0,97.90438079191239
3652,CRYGD,640.701,0.0,97.8991154170177
7323,IDH1,640.492,0.0,97.89385004212299
8934,LTF,640.405,0.0,97.8885846672283
1158,ASS1,634.892,0.0,97.88331929233361
10519,NME1-NME2,632.266,0.0,97.87805391743892
6246,GKN1,629.097,0.0,97.87278854254423
8468,LASP1,627.923,0.0,97.86752316764954
13921,RPS26,627.626,0.0,97.86225779275485
5660,FHL1,627.182,0.0,97.85699241786016
4546,DSTN,627.074,0.0,97.85172704296546
14486,SFPQ,624.297,0.0,97.84646166807077
7090,HNRNPL,623.958,0.0,97.84119629317607
8298,KRT6B,623.551,0.0,97.83593091828138
8297,KRT6A,622.944,0.0,97.83066554338669
14485,SFN,622.662,0.0,97.825400168492
7761,ITIH4,621.735,0.0,97.8201347935973
15742,STIP1,620.603,0.0,97.81486941870261
13917,RPS21,618.058,0.0,97.80960404380792
2297,CBR1,617.731,0.0,97.80433866891323
155,ACO2,616.654,0.0,97.79907329401854
9469,MGST1,615.926,0.0,97.79380791912385
8270,KRT16,614.008,27.888291449997354,97.78854254422914
7160,HPR,613.84,0.0,97.78327716933445
3204,CLEC3B,611.617,0.0,97.77801179443976
12925,PSME1,609.69,0.0,97.77274641954507
17465,UBA1,609.595,0.0,97.76748104465038
14329,SECTM1,609.219,0.0,97.76221566975569
11934,PGRMC1,607.278,0.0,97.75695029486099
14838,SLC25A5,605.517,0.0,97.7516849199663
350,ADH6,605.287,0.0,97.7464195450716
8300,KRT7,602.567,0.0,97.74115417017691
450,AHCY,601.824,0.0,97.73588879528222
2218,CAPZB,600.641,0.0,97.73062342038753
15618,SRSF7,596.973,0.0,97.72535804549284
13947,RPSA,595.565,0.0,97.72009267059815
11942,PHB,595.49,0.0,97.71482729570346
13884,RPLP0P6,595.052,0.0,97.70692923336142
13883,RPLP0,595.052,0.0,97.70692923336142
1268,ATP5PD,594.69,0.0,97.69903117101939
438,AGR2,592.522,0.0,97.6937657961247
17401,TUFM,592.072,0.0,97.68850042122999
6804,H3C15,590.371,0.0,97.6832350463353
13859,RPL31,589.614,0.0,97.67796967144061
13918,RPS23,583.624,0.0,97.6727042965459
4019,DCD,583.204,0.0,97.66743892165121
541,ALDH2,581.76,0.0,97.66217354675652
3777,CTSD,581.3585,44.11992761213466,97.65690817186183
511,AKR1B1,581.07,0.0,97.65164279696714
6758,H1-3,581.039,0.0,97.64637742207245
6422,GOT2,580.928,0.0,97.64111204717776
16915,TNNI1,580.551,0.0,97.63584667228307
9931,MTPN,577.99,0.0,97.63058129738837
1061,ARPC2,576.737,0.0,97.62531592249368
6034,GANAB,575.887,0.0,97.62005054759899
17483,UBC,575.4327499999999,355.13584197634844,97.6147851727043
13593,RHOA,575.174,0.0,97.60951979780961
8299,KRT6C,573.805,0.0,97.60425442291492
14085,S100A4,571.925,0.0,97.59898904802023
5068,ERP29,571.41,0.0,97.59372367312554
2208,CAPNS1,571.094,0.0,97.58845829823083
6819,HADHA,570.45,0.0,97.58319292333614
15316,SOD3,570.447,0.0,97.57792754844145
7014,HLA-B,569.384,0.0,97.57266217354676
2965,CFL2,567.969,0.0,97.56739679865206
13853,RPL27,567.65,0.0,97.56213142375736
12946,PTBP1,567.539,0.0,97.55686604886267
15767,STMN1,564.995,0.0,97.55160067396798
6134,GDI2,564.241,0.0,97.54633529907329
8783,LRG1,563.556,0.0,97.5410699241786
14005,RSU1,563.498,0.0,97.53580454928391
12707,PRKCSH,560.195,0.0,97.53053917438922
13189,RAB7A,558.716,0.0,97.52527379949453
13838,RPL14,558.687,0.0,97.52000842459984
11879,PF4V1,558.675,0.0,97.51474304970515
6772,H2AC21,556.219,0.0,97.50947767481046
13850,RPL24,552.882,0.0,97.50421229991575
9190,MARCKS,552.852,0.0,97.49894692502106
7231,HSPA1A,552.272,0.0,97.49368155012637
17504,UBE2L3,550.468,0.0,97.48841617523168
14817,SLC25A3,548.121,0.0,97.48315080033699
16362,TG,547.174,0.0,97.4778854254423
15202,SMR3B,546.345,0.0,97.46998736310026
15201,SMR3A,546.345,0.0,97.46998736310026
3312,CNIH4,546.076,0.0,97.46208930075821
7076,HNRNPA1L2,545.846,0.0,97.45682392586352
2551,CCT2,545.676,0.0,97.45155855096883
8320,KRTAP1-4,545.014,0.0,97.44629317607414
203,ACTBL2,542.704,0.0,97.44102780117944
7200,HSD17B10,542.3,0.0,97.43576242628475
13858,RPL30,541.274,0.0,97.43049705139006
13837,RPL13A,540.328,0.0,97.42523167649537
349,ADH5,539.488,0.0,97.41996630160067
3855,CYB5A,538.58,0.0,97.41470092670598
5100,ETFA,538.236,0.0,97.40943555181128
17378,TUBA3E,536.491,0.0,97.4041701769166
2558,CCT8,535.881,0.0,97.3989048020219
1418,BANF1,534.301,0.0,97.39363942712721
13933,RPS6,533.17,0.0,97.38837405223252
5461,FASN,532.561,0.0,97.38310867733783
18143,XRCC5,532.341,0.0,97.37784330244314
13905,RPS12,532.332,0.0,97.37257792754845
3622,CRNN,530.932,0.0,97.36731255265376
14071,RYBP,530.258,0.0,97.36204717775905
4830,EIF5A2,530.235,0.0,97.35678180286436
13920,RPS25,528.064,0.0,97.35151642796967
4055,DCXR,527.555,0.0,97.34625105307498
13848,RPL23,526.549,0.0,97.34098567818029
6770,H2AC19,526.278,0.0,97.33572030328558
14103,SAA1,525.173,0.0,97.33045492839089
11915,PGD,523.588,0.0,97.3251895534962
2157,CALM2,522.6020000000001,1.5047232303649631,97.31992417860151
2156,CALM1,521.538,0.0,97.31465880370682
455,AHNAK,521.048,0.0,97.30939342881213
2280,CAVIN2,520.954,0.0,97.30412805391744
3476,CORO1A,520.939,0.0,97.29886267902275
9471,MGST3,519.237,0.0,97.29359730412806
16853,TMUB1,518.946,0.0,97.28833192923337
10940,OGN,517.207,0.0,97.28306655433867
6820,HADHB,516.769,0.0,97.27780117944398
6774,H2AC7,516.49,0.0,97.27253580454929
9858,MT-CO2,514.424,0.0,97.2672704296546
3708,CST3,512.886,0.0,97.2620050547599
481,AK2,511.437,0.0,97.2567396798652
14341,SELENON,511.3585,723.1192142465169,97.25147430497051
8711,LMNB1,509.178,0.0,97.24620893007582
15661,ST13P4,509.119,0.0,97.23567818028643
15660,ST13,509.119,0.0,97.23567818028643
15662,ST13P5,509.119,0.0,97.23567818028643
13834,RPL11,508.843,0.0,97.22514743049705
2133,CACYBP,508.531,0.0,97.21988205560235
13851,RPL26,508.295,45.154629762627884,97.21461668070766
13621,RIDA,507.535,0.0,97.20935130581297
17111,TRIM28,506.721,0.0,97.20408593091828
1855,C1QBP,506.026,0.0,97.19882055602359
15513,SPP1,505.648,0.0,97.1935551811289
6771,H2AC20,505.57,0.0,97.18828980623421
2265,CAT,503.85,0.0,97.18302443133952
12926,PSME2,503.667,0.0,97.17775905644483
8507,LCN1,503.534,0.0,97.17249368155014
2669,CDC42,503.31,0.0,97.16722830665543
18193,YWHAH,502.278,0.0,97.16196293176074
7086,HNRNPH1,500.67,0.0,97.15669755686605
13831,RPL10,500.5835,141.8944106739233,97.15143218197136
14076,S100A1,500.202,0.0,97.14616680707667
11798,PDLIM1,500.134,0.0,97.14090143218198
480,AK1,499.689,0.0,97.13563605728727
14335,SELENBP1,497.74,0.0,97.13037068239258
17507,UBE2N,496.755,0.0,97.12510530749789
6292,GLUD1,495.706,0.0,97.1198399326032
6799,H3-2,495.077,0.0,97.11457455770851
2552,CCT3,493.88,0.0,97.10930918281382
15547,SPTAN1,493.446,0.0,97.10404380791913
9333,MED20,493.411,0.0,97.09877843302444
10038,MYL9,492.598,0.0,97.09351305812974
13902,RPS10,491.161,0.0,97.0856149957877
13903,RPS10-NUDT3,491.161,0.0,97.0856149957877
15256,SNRPD2,489.974,0.0,97.07771693344566
